month,day,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
January,1,,903186.035,1013769.883,1033270.716,1023094.59,1347723.97,1309901.559,1341199.586,893880.777,1189791.815,1076704.812,1056430.921,1166715.735,1250898.357,1161498.702,1314477.886,1186196.665,1080828.822,961480.291,889195.943,880413.185,858958.154,915095.863,795107.939,731234.554,873150.949,790501.382,961899.354,820291.859,857995.53,1078583.889,1004634.162,795608.107,657280.21,970785.241,836904.594,1042165.178,919851.203,1107737.558,1043957.619,852411.168,919098.691,789284.7,798943.092,761255.338
January,2,,928997.908,999873.492,1050801.407,1021066.245,1372848.377,1350548.34,1360997.397,927678.443,1202350.785,1094063.99675,1059314.03,1186912.729,1262376.998,1182318.003,1341942.398,1196610.139,1086033.498,981548.775,896060.618,903109.741,857345.722,940188.936,810406.213,733945.551,884679.884,803937.69,975676.118,831765.368,864991.03,1096881.588,984450.547,790348.007,665528.563,988757.101,846580.138,1045929.234,952044.039,1118000.089,1041095.765,872204.561,946538.006,795458.613,816160.468,766864.201
January,3,,947432.787,1000897.098,1041880.956,1013746.335,1417371.453,1372754.604,1376789.972,956472.113,1226642.912,1112350.8115,1068396.572,1197891.649,1276660.851,1201406.565,1368664.196,1207594.068,1088520.659,993481.483,897762.585,932647.894,854277.056,975181.01,831122.276,740003.863,896357.026,813788.196,989894.333,848754.589,865385.347,1115866.186,975695.684,786922.827,670551.044,999673.091,853340.629,1044428.577,984973.384,1126274.372,1039445.72,891754.362,968084.226,800215.171,837994.921,770816.644
January,4,,974928.335,997687.62,1037514.096,1030366.773,1460409.917,1392297.001,1398633.692,988362.974,1231461.806,1122858.92925,1073315.824,1198295.113,1296032.311,1214306.908,1390814.858,1213616.662,1090486.759,994941.556,897113.971,962903.593,854641.286,1008213.484,854875.915,752313.339,904186.303,827472.84,1002461.024,865825.148,863439.934,1130042.539,962287.913,784717.294,670551.024,1006333.892,863309.928,1047832.206,1008812.804,1131821.502,1040792.446,912064.23,993647.766,800092.268,858690.486,775288.398
January,5,,1005270.542,1015031.822,1018820.331,1040308.602,1491475.904,1431611.85,1421457.075,987397.343,1234284.161,1126093.64025,1082213.593,1200479.464,1320700.003,1225279.447,1412768.609,1221792.089,1099204.954,998304.318,896573.999,989286.093,857943.753,1037331.523,878942.407,762158.151,910016.102,837445.983,1011618.34,888081.409,865662.895,1145842.808,940992.296,787263.871,668051.543,1010444.124,877502.215,1047953.087,1031026.911,1137901.759,1055976.206,926768.633,1012670.518,806016.937,877838.854,783005.083
January,6,,1020866.519,1026332.269,1002736.427,1039142.313,1530012.742,1441697.272,1425325.65,999762.769,1251322.233,1135316.29725,1086208.737,1203971.45,1344794.423,1232529.745,1436770.053,1221908.417,1108624.368,999150.701,904820.69,1010109.883,859772.316,1066003.84,898109.138,771746.994,914607.787,840244.908,1017987.197,908125.52,865604.463,1150987.402,922241.205,783989.956,666964.802,1012726.638,896387.766,1045552.61,1041425.668,1143122.799,1073472.421,928374.126,1028957.698,810007.037,892316.935,792370.327
January,7,,1040988.952,1069400.637,1010485.255,1050208.692,1531359.065,1446624.956,1437691.965,1006538.163,1263248.987,1140909.5405,1088490.335,1205360.677,1370368.387,1235838.57,1459256.355,1217335.655,1123298.419,1017847.11,904917.849,1026369.667,873181.078,1087016.313,920442.439,783573.225,922643.299,842968.98,1030078.631,928548.825,870755.7,1159854.22,914986.297,784935.765,659703.793,1012993.471,918865.668,1051147.246,1051546.883,1146589.922,1077058.157,921234.302,1032874.823,822757.589,902875.616,797450.503
January,8,,1064087.127,1102628.8,1003707.856,1033289.669,1543829.795,1439200.445,1416160.241,1002777.517,1248955.736,1140892.63,1090879.849,1220957.418,1391989.616,1236769.105,1484468.837,1202578.631,1134853.541,1044721.215,902012.046,1036535.834,896670.752,1105397.018,943658.115,798928.804,927127.755,849335.275,1042278.998,937577.235,877437.172,1166442.033,905732.674,792010.474,652593.179,1020406.891,937745.734,1054370.214,1067754.241,1147676.338,1081727.365,913151.686,1039415.808,836553.985,904078.79,813532.017
January,9,,1081170.976,1108456.284,1032386.264,1018130.679,1559868.703,1443109.77,1403079.795,1006902.337,1252883.806,1149835.5385,1097234.153,1242321.858,1406857.802,1239080.113,1510357.294,1189518.009,1140858.717,1072428.612,893497.029,1046206.721,918451.164,1117706.921,968181.31,823431.215,923594.811,854507.498,1053362.546,946834.172,888560.372,1171095.997,906441.8,800453.302,651912.342,1037356.96,961546.402,1054033.087,1090845.365,1147695.498,1082576.027,906364.321,1042673.781,858328.002,899018.041,831103.165
January,10,,1094338.71,1137824.313,1057862.995,1019872.45,1562999.115,1442072.753,1393712.912,1017620.464,1245680.412,1156375.305,1100310.661,1261889.683,1415461.989,1239240.661,1534107.394,1172147.281,1144367.48,1094134.165,879795.51,1056283.259,945918.421,1130688.916,980022.474,854963.393,913139.739,861446.99,1062477.911,954372.903,888632.805,1167029.585,919880.162,811319.869,655219.873,1055413.543,979023.324,1063678.22,1107823.45,1154062.4,1087178.77,908123.416,1047093.783,874171.024,895049.249,848121.489
