month,day,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
January,1,,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761102.781,761228.252,761228.252,761228.252,760721.129,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252
January,2,,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,760721.129,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252
January,3,,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,760595.569,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252
January,4,,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,760720.777,761098.197,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252
January,5,,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,760975.32,761098.197,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252
January,6,,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761098.503,760975.32,761098.197,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252
January,7,,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761098.503,760975.32,761098.197,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252
January,8,,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761098.503,761100.88,761098.197,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,760589.655,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252
January,9,,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761102.641,761228.252,761228.252,761098.503,761100.88,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,760589.655,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252
January,10,,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,760974.98,761228.252,761228.252,760590.947,761102.549,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,760589.655,760855.208,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252
January,11,,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,760974.98,761228.252,761228.252,760720.696,761102.549,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,760589.655,760855.208,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252
January,12,,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,760974.98,761228.252,761228.252,760720.696,761102.549,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,760589.655,760855.208,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252,761228.252
