month,day,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
January,1,,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231584.0415,1231642.667,1231408.165,1231642.667,1231642.667,1231642.667,1231304.402,1231642.667,1231064.284,1231064.505,1231642.667,1231295.946,1196296.011,1231642.667,1081588.372,1231642.667,1207378.648,1231642.667,1231180.445,1224790.651,1231642.667,1231642.667,1228979.975,894873.773,1222148.121,1230138.675,1231642.667,1229413.726,1231642.667,1231642.667,1231411.446,1231642.667,1224159.223,1230833.063,1208174.333
January,2,,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231584.0415,1231642.667,1231408.165,1231642.667,1231642.667,1231642.667,1231304.402,1231642.667,1231411.446,1231411.667,1231642.667,1231177.442,1212344.39,1231642.667,1090539.882,1231642.667,1214935.159,1231642.667,1231295.946,1226876.14,1231642.667,1231642.667,1230022.546,917399.267,1224256.755,1230601.622,1231642.667,1231174.192,1231642.667,1231642.667,1231642.667,1231642.667,1223689.372,1231180.225,1220223.084
January,3,,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231584.0415,1231642.667,1231408.165,1231642.667,1231642.667,1231642.667,1231415.268,1231642.667,1231642.667,1231527.167,1231642.667,1231177.442,1223682.071,1231642.667,1107013.556,1231642.667,1221908.786,1231642.667,1231527.167,1228273.564,1231642.667,1231642.667,1229906.639,938650.053,1223667.924,1230948.784,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1222979.506,1231411.446,1226775.41
January,4,,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231531.849,1231642.667,1231642.667,1231642.667,1231642.667,1231177.442,1231421.144,1231642.667,1134548.709,1231642.667,1227672.419,1231642.667,1231642.667,1230022.139,1231642.667,1231642.667,1229674.914,959672.435,1224486.792,1231295.946,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1223212.396,1231527.167,1228993.659
January,5,,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231409.61,1231642.667,1231642.667,1231642.667,1231642.667,1231177.442,1231642.667,1231642.667,1166845.499,1231642.667,1230010.809,1231642.667,1231642.667,1230138.08,1231642.667,1231642.667,1229790.854,977515.723,1226480.261,1231411.446,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1224730.882,1231642.667,1229790.698
January,6,,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231537.018,1231642.667,1231520.429,1231642.667,1231642.667,1231642.667,1231642.667,1231177.442,1231642.667,1231642.667,1193465.279,1231642.667,1231177.038,1231642.667,1231182.979,1230485.68,1231642.667,1231642.667,1229790.854,978063.599,1227652.862,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1226371.777,1231642.667,1230022.798
January,7,,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231537.018,1231642.667,1231520.429,1231642.667,1231642.667,1231642.667,1231642.667,1231527.167,1231642.667,1231642.667,1210849.841,1231642.667,1231527.167,1231642.667,1231182.979,1230485.901,1231642.667,1231642.667,1228979.552,970792.012,1227887.141,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1227781.232,1231642.667,1230138.739
January,8,,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231555.606,1231642.667,1231294.423,1231642.667,1231537.018,1231642.667,1231520.429,1231642.667,1231642.667,1231642.667,1231642.667,1231527.167,1231642.667,1231408.391,1222731.843,1231642.667,1231642.667,1231642.667,1231182.979,1230833.063,1231642.667,1231642.667,1227937.66,968257.682,1230117.238,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1229656.357,1231642.667,1230370.4
January,9,,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231555.606,1231642.667,1231294.423,1231642.667,1231537.018,1231642.667,1231520.429,1231642.667,1231642.667,1231642.667,1231642.667,1231527.167,1231642.667,1231408.391,1229032.505,1231642.667,1231642.667,1231524.263,1231182.979,1230949.003,1231642.667,1231642.667,1228053.444,967676.334,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1230004.907,1231642.667,1230602.062
January,10,,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231555.606,1231642.667,1231294.423,1231642.667,1231537.018,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231408.391,1230727.439,1231642.667,1231642.667,1231524.263,1231065.644,1230949.003,1231642.667,1231642.667,1227937.503,964557.678,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231642.667,1231295.946,1231642.667,1230949.224
