x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-115.1352778,67.81722333,KUGLUKTUK CLIMATE,2300904,2300904.2012.5.1,2012-05-01 0:00,NU,2012,5,1,-15.2,,-22.8,,-7.6,,0,,,M,,M,24,,0,,0,,0,,33.2,,67,,88,
-115.1352778,67.81722333,KUGLUKTUK CLIMATE,2300904,2300904.2012.5.2,2012-05-02 0:00,NU,2012,5,2,-14.2,,-21.5,,-6.9,,0,,,M,,M,23,,9,,37,,0,,32.2,,74,,89,
-115.1352778,67.81722333,KUGLUKTUK CLIMATE,2300904,2300904.2012.5.3,2012-05-03 0:00,NU,2012,5,3,-3.5,,-7.6,,0.6,,0.5,,,M,,M,23,,14,,32,,0,,21.5,,68,,90,
-115.1352778,67.81722333,KUGLUKTUK CLIMATE,2300904,2300904.2012.5.4,2012-05-04 0:00,NU,2012,5,4,-7.7,,-11.2,,-4.1,,0.2,,,M,,M,20,,0,,0,,0,,25.7,,84,,96,
-115.1352778,67.81722333,KUGLUKTUK CLIMATE,2300904,2300904.2012.5.5,2012-05-05 0:00,NU,2012,5,5,-5.7,,-6.8,,-4.5,,0,,,M,,M,17,,0,,0,,0,,23.7,,86,,96,
-115.1352778,67.81722333,KUGLUKTUK CLIMATE,2300904,2300904.2012.5.6,2012-05-06 0:00,NU,2012,5,6,-5.8,,-7.1,,-4.5,,0,,,M,,M,20,,0,,0,,0,,23.8,,79,,96,
-115.1352778,67.81722333,KUGLUKTUK CLIMATE,2300904,2300904.2012.5.7,2012-05-07 0:00,NU,2012,5,7,-5.1,,-6.2,,-4,,0.2,,,M,,M,20,,0,,0,,0,,23.1,,93,,96,
-115.1352778,67.81722333,KUGLUKTUK CLIMATE,2300904,2300904.2012.5.8,2012-05-08 0:00,NU,2012,5,8,-5,,-7,,-2.9,,0,,,M,,M,20,,8,,39,,0,,23,,89,,96,
-115.1352778,67.81722333,KUGLUKTUK CLIMATE,2300904,2300904.2012.5.9,2012-05-09 0:00,NU,2012,5,9,-1.7,,-4.5,,1.1,,2.4,,,M,,M,20,,9,,57,,0,,19.7,,93,,97,
-115.1352778,67.81722333,KUGLUKTUK CLIMATE,2300904,2300904.2012.5.10,2012-05-10 0:00,NU,2012,5,10,-2.5,,-4.8,,-0.1,,0.3,,,M,,M,12,,0,,0,,0,,20.5,,90,,98,
-115.1352778,67.81722333,KUGLUKTUK CLIMATE,2300904,2300904.2012.5.11,2012-05-11 0:00,NU,2012,5,11,-6,,-9.4,,-2.5,,0.6,,,M,,M,11,,35,,44,,0,,24,,80,,95,
-115.1352778,67.81722333,KUGLUKTUK CLIMATE,2300904,2300904.2012.5.12,2012-05-12 0:00,NU,2012,5,12,-1.6,,-2.8,,-0.3,,0,,,M,,M,15,,36,,41,,0,,19.6,,86,,97,
-115.1352778,67.81722333,KUGLUKTUK CLIMATE,2300904,2300904.2012.5.13,2012-05-13 0:00,NU,2012,5,13,-1.3,,-3.3,,0.7,,0.2,,,M,,M,13,,0,,0,,0,,19.3,,80,,97,
-115.1352778,67.81722333,KUGLUKTUK CLIMATE,2300904,2300904.2012.5.14,2012-05-14 0:00,NU,2012,5,14,-2.6,,-3.4,,-1.8,,0.3,,,M,,M,2,,0,,0,,0,,20.6,,85,,96,
-115.1352778,67.81722333,KUGLUKTUK CLIMATE,2300904,2300904.2012.5.15,2012-05-15 0:00,NU,2012,5,15,-1.7,,-3.1,,-0.3,,0,,,M,,M,2,,0,,0,,0,,19.7,,85,,93,
-115.1352778,67.81722333,KUGLUKTUK CLIMATE,2300904,2300904.2012.5.16,2012-05-16 0:00,NU,2012,5,16,-3.3,,-4.7,,-1.8,,0.7,,,M,,M,,,0,,0,,0,,21.3,,81,,96,
-115.1352778,67.81722333,KUGLUKTUK CLIMATE,2300904,2300904.2012.5.17,2012-05-17 0:00,NU,2012,5,17,-3.5,,-5.1,,-1.9,,0,,,M,,M,2,,0,,0,,0,,21.5,,78,,94,
-115.1352778,67.81722333,KUGLUKTUK CLIMATE,2300904,2300904.2012.5.18,2012-05-18 0:00,NU,2012,5,18,-4,,-6,,-2,,0.2,,,M,,M,,,0,,0,,0,,22,,78,,96,
-115.1352778,67.81722333,KUGLUKTUK CLIMATE,2300904,2300904.2012.5.19,2012-05-19 0:00,NU,2012,5,19,-1.6,,-3.6,,0.5,,0,,,M,,M,,,0,,0,,0,,19.6,,82,,96,
-115.1352778,67.81722333,KUGLUKTUK CLIMATE,2300904,2300904.2012.5.20,2012-05-20 0:00,NU,2012,5,20,-3.7,,-8,,0.6,,0,,,M,,M,,,0,,0,,0,,21.7,,84,,96,
-115.1352778,67.81722333,KUGLUKTUK CLIMATE,2300904,2300904.2012.5.21,2012-05-21 0:00,NU,2012,5,21,-3.3,,-6.9,,0.3,,0,,,M,,M,,,0,,0,,0,,21.3,,81,,97,
-115.1352778,67.81722333,KUGLUKTUK CLIMATE,2300904,2300904.2012.5.22,2012-05-22 0:00,NU,2012,5,22,-1.6,,-4.5,,1.4,,0,,,M,,M,,,0,,0,,0,,19.6,,77,,98,
-115.1352778,67.81722333,KUGLUKTUK CLIMATE,2300904,2300904.2012.5.23,2012-05-23 0:00,NU,2012,5,23,-3.5,,-6,,-0.9,,0,,,M,,M,65,,0,,0,,0,,21.5,,87,,97,
-115.1352778,67.81722333,KUGLUKTUK CLIMATE,2300904,2300904.2012.5.24,2012-05-24 0:00,NU,2012,5,24,-5.1,,-7.7,,-2.4,,0,,,M,,M,,,0,,0,,0,,23.1,,90,,95,
-115.1352778,67.81722333,KUGLUKTUK CLIMATE,2300904,2300904.2012.5.25,2012-05-25 0:00,NU,2012,5,25,-4.3,,-9.3,,0.8,,0,,,M,,M,,,0,,0,,0,,22.3,,76,,96,
-115.1352778,67.81722333,KUGLUKTUK CLIMATE,2300904,2300904.2012.5.26,2012-05-26 0:00,NU,2012,5,26,-2.4,,-8,,3.2,,0,,,M,,M,,,0,,0,,0,,20.4,,78,,94,
