x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-96,64.31666667,BAKER LAKE CLIMATE,2300501,2300501.2012.5.1,2012-05-01 0:00,NU,2012,5,1,-9.5,,-13.5,,-5.4,,0.2,,,M,,M,12,,33,,50,,0,,27.5,,81,,91,
-96,64.31666667,BAKER LAKE CLIMATE,2300501,2300501.2012.5.2,2012-05-02 0:00,NU,2012,5,2,-12.5,,-16.8,,-8.1,,0,,,M,,M,12,,34,,37,,0,,30.5,,75,,88,
-96,64.31666667,BAKER LAKE CLIMATE,2300501,2300501.2012.5.3,2012-05-03 0:00,NU,2012,5,3,-13,,-17.3,,-8.7,,0.2,,,M,,M,12,,33,,41,,0,,31,,77,,88,
-96,64.31666667,BAKER LAKE CLIMATE,2300501,2300501.2012.5.4,2012-05-04 0:00,NU,2012,5,4,-12.3,,-19.3,,-5.3,,0,,,M,,M,12,,0,,0,,0,,30.3,,58,,86,
-96,64.31666667,BAKER LAKE CLIMATE,2300501,2300501.2012.5.5,2012-05-05 0:00,NU,2012,5,5,-10,,-16,,-3.9,,0,,,M,,M,12,,0,,0,,0,,28,,71,,92,
-96,64.31666667,BAKER LAKE CLIMATE,2300501,2300501.2012.5.6,2012-05-06 0:00,NU,2012,5,6,-5.7,,-11.7,,0.4,,0,,,M,,M,12,,0,,0,,0,,23.7,,81,,95,
-96,64.31666667,BAKER LAKE CLIMATE,2300501,2300501.2012.5.7,2012-05-07 0:00,NU,2012,5,7,-2.1,,-5.4,,1.3,,0,,,M,,M,12,,12,,32,,0,,20.1,,87,,94,
-96,64.31666667,BAKER LAKE CLIMATE,2300501,2300501.2012.5.8,2012-05-08 0:00,NU,2012,5,8,-1.4,,-3.1,,0.4,,0,,,M,,M,11,,0,,0,,0,,19.4,,79,,96,
-96,64.31666667,BAKER LAKE CLIMATE,2300501,2300501.2012.5.9,2012-05-09 0:00,NU,2012,5,9,-2.6,,-4.8,,-0.4,,0,,,M,,M,10,,13,,48,,0,,20.6,,88,,96,
-96,64.31666667,BAKER LAKE CLIMATE,2300501,2300501.2012.5.10,2012-05-10 0:00,NU,2012,5,10,-1.9,,-3.3,,-0.4,,19.5,,,M,,M,9,,11,,52,,0,,19.9,,90,,97,
