x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.5.1,2012-05-01 0:00,NU,2012,5,1,-14,,-16.9,,-11,,3.1,M,,M,,M,65,,0,,0,,0,,32,,82,,89,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.5.2,2012-05-02 0:00,NU,2012,5,2,-11.8,,-13.9,,-9.6,,3.4,,,M,,M,70,,0,,0,,0,,29.8,,83,,89,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.5.3,2012-05-03 0:00,NU,2012,5,3,-11.7,,-15.9,,-7.5,,1.7,M,,M,,M,70,,0,,0,,0,,29.7,,82,,89,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.5.4,2012-05-04 0:00,NU,2012,5,4,-6.9,,-8.4,,-5.4,,1.3,M,,M,,M,70,,31,,35,,0,,24.9,,87,,92,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.5.5,2012-05-05 0:00,NU,2012,5,5,-5.2,,-7.4,,-3,,2.4,M,,M,,M,69,,31,,41,,0,,23.2,,85,,91,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.5.6,2012-05-06 0:00,NU,2012,5,6,-4.1,,-6.4,,-1.8,,6.8,M,,M,,M,68,,0,,0,,0,,22.1,,86,,97,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.5.7,2012-05-07 0:00,NU,2012,5,7,-2.8,,-4.1,,-1.4,,0.3,,,M,,M,68,,0,,0,,0,,20.8,,94,,97,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.5.8,2012-05-08 0:00,NU,2012,5,8,-3.9,,-5.3,,-2.5,,0.2,M,,M,,M,66,,0,,0,,0,,21.9,,96,,96,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.5.9,2012-05-09 0:00,NU,2012,5,9,-6.2,,-9.7,,-2.6,,0,,,M,,M,67,,0,,0,,0,,24.2,,86,,96,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.5.10,2012-05-10 0:00,NU,2012,5,10,-9.4,,-13.8,,-5,,26.8,,,M,,M,66,,0,,0,,0,,27.4,,82,,95,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.5.11,2012-05-11 0:00,NU,2012,5,11,-10,,-15.8,,-4.1,,0.2,M,,M,,M,66,,0,,0,,0,,28,,77,,93,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.5.12,2012-05-12 0:00,NU,2012,5,12,-9,,-11.9,,-6.1,,0,,,M,,M,65,,0,,0,,0,,27,,90,,95,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.5.13,2012-05-13 0:00,NU,2012,5,13,-4.8,,-6.7,,-2.8,,0,,,M,,M,65,,0,,0,,0,,22.8,,93,,96,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.5.14,2012-05-14 0:00,NU,2012,5,14,-5.8,,-7.4,,-4.1,,0,,,M,,M,65,,34,,39,,0,,23.8,,89,,96,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.5.15,2012-05-15 0:00,NU,2012,5,15,-6.7,,-8.1,,-5.2,,0,,,M,,M,65,,35,,33,,0,,24.7,,78,,93,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.5.16,2012-05-16 0:00,NU,2012,5,16,-6.2,,-9.9,,-2.5,,0,,,M,,M,65,,0,,0,,0,,24.2,,76,,87,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.5.17,2012-05-17 0:00,NU,2012,5,17,,M,-8.4,E,,M,,M,,M,,M,65,,,M,,M,,M,,M,,,,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.5.18,2012-05-18 0:00,NU,2012,5,18,,M,,M,,M,,M,,M,,M,,,0,,0,,,M,,M,,,,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.5.19,2012-05-19 0:00,NU,2012,5,19,-7.1,,-12,,-2.2,,0,,,M,,M,64,,0,,0,,0,,25.1,,68,,89,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.5.20,2012-05-20 0:00,NU,2012,5,20,-8.4,,-12.2,,-4.6,,0,,,M,,M,64,,0,,0,,0,,26.4,,75,,89,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.5.21,2012-05-21 0:00,NU,2012,5,21,-6.2,,-8.4,,-4,,0,,,M,,M,64,,0,,0,,0,,24.2,,76,,91,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.5.22,2012-05-22 0:00,NU,2012,5,22,-7.5,,-9.5,,-5.5,,0.4,M,,M,,M,64,,0,,0,,0,,25.5,,83,,93,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.5.23,2012-05-23 0:00,NU,2012,5,23,-8.1,,-10.6,,-5.6,,0.2,M,,M,,M,68,,32,,39,,0,,26.1,,82,,90,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.5.24,2012-05-24 0:00,NU,2012,5,24,-6.9,,-12.3,,-1.5,,0.4,M,,M,,M,63,,0,,0,,0,,24.9,,68,,88,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.5.25,2012-05-25 0:00,NU,2012,5,25,-7.6,,-12.5,,-2.7,,0,,,M,,M,62,,0,,0,,0,,25.6,,69,,89,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.5.26,2012-05-26 0:00,NU,2012,5,26,-8.1,,-12.4,,-3.8,,0,,,M,,M,62,,0,,0,,0,,26.1,,78,,94,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.5.27,2012-05-27 0:00,NU,2012,5,27,-4.7,,-6.3,,-3.1,,0,,,M,,M,62,,33,,46,,0,,22.7,,83,,93,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.5.28,2012-05-28 0:00,NU,2012,5,28,-3.4,,-4.5,,-2.2,,,M,,M,,M,62,,0,,0,,0,,21.4,,,,,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.5.29,2012-05-29 0:00,NU,2012,5,29,-1.8,,-3.3,,-0.2,,3.9,M,,M,,M,62,,0,,0,,0,,19.8,,84,,96,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.5.30,2012-05-30 0:00,NU,2012,5,30,-0.1,,-3.5,,3.3,,1.8,M,,M,,M,61,,0,,0,,0,,18.1,,65,,96,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.5.31,2012-05-31 0:00,NU,2012,5,31,-0.9,,-2.9,,1.1,,0,,,M,,M,57,,0,,0,,0,,18.9,,76,,97,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.6.1,2012-06-01 0:00,NU,2012,6,1,-0.9,,-3.4,,1.6,,0,,,M,,M,54,,0,,0,,0,,18.9,,87,,97,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.6.2,2012-06-02 0:00,NU,2012,6,2,-1.9,,-4.3,,0.6,,0,,,M,,M,48,,0,,0,,0,,19.9,,90,,97,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.6.3,2012-06-03 0:00,NU,2012,6,3,1.3,,-2.2,,4.7,,0,,,M,,M,43,,0,,0,,0,,16.7,,78,,94,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.6.4,2012-06-04 0:00,NU,2012,6,4,4.4,,0,,8.8,,0,,,M,,M,35,,25,,33,,0,,13.6,,70,,90,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.6.5,2012-06-05 0:00,NU,2012,6,5,1.5,,-1.4,,4.4,,0,,,M,,M,28,,0,,0,,0,,16.5,,57,,90,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.6.6,2012-06-06 0:00,NU,2012,6,6,2.7,,-0.4,,5.7,,0,,,M,,M,21,,0,,0,,0,,15.3,,61,,96,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.6.7,2012-06-07 0:00,NU,2012,6,7,-0.3,,-1.4,,0.9,,2.9,M,,M,,M,14,,0,,0,,0,,18.3,,94,,99,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.6.8,2012-06-08 0:00,NU,2012,6,8,-0.3,,-1.5,,1,,2.6,M,,M,,M,7,,0,,0,,0,,18.3,,94,,99,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.6.9,2012-06-09 0:00,NU,2012,6,9,-0.5,,-1.7,,0.7,,0.2,M,,M,,M,,,0,,0,,0,,18.5,,97,,99,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.6.10,2012-06-10 0:00,NU,2012,6,10,0.2,,-1.2,,1.6,,0.4,M,,M,,M,,,0,,0,,0,,17.8,,98,,99,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.6.11,2012-06-11 0:00,NU,2012,6,11,0.3,,-0.4,,0.9,,3.5,M,,M,,M,,,0,,0,,0,,17.7,,99,,99,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.6.12,2012-06-12 0:00,NU,2012,6,12,0.4,,-0.8,,1.6,,0.3,,,M,,M,,,0,,0,,0,,17.6,,99,,99,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.6.13,2012-06-13 0:00,NU,2012,6,13,0.5,,0.1,,0.8,,1.2,M,,M,,M,,,0,,0,,0,,17.5,,99,,99,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.6.14,2012-06-14 0:00,NU,2012,6,14,3.8,,0.1,,7.4,,0.2,M,,M,,M,,,19,,33,,0,,14.2,,54,,99,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.6.15,2012-06-15 0:00,NU,2012,6,15,5,,2.8,,7.1,,0,,,M,,M,,,18,,56,,0,,13,,67,,79,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.6.16,2012-06-16 0:00,NU,2012,6,16,4.5,,0.8,,8.2,,3.4,,,M,,M,,,22,,57,,0,,13.5,,69,,98,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.6.17,2012-06-17 0:00,NU,2012,6,17,1.7,,0.5,,2.8,,2.7,M,,M,,M,,,0,,0,,0,,16.3,,97,,99,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.6.18,2012-06-18 0:00,NU,2012,6,18,3,,0.4,,5.5,,0.2,M,,M,,M,,,0,,0,,0,,15,,89,,98,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.6.19,2012-06-19 0:00,NU,2012,6,19,5.5,,0.4,,10.6,,0.3,,,M,,M,,,24,,52,,0,,12.5,,59,,98,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.6.20,2012-06-20 0:00,NU,2012,6,20,6.6,,4,,9.2,,0,,,M,,M,,,22,,57,,0,,11.4,,55,,74,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.6.21,2012-06-21 0:00,NU,2012,6,21,7.2,,1.4,,13,,,M,,M,,M,,,0,,0,,0,,10.8,,43,,86,
-68.51666667,70.48333333,CLYDE RIVER CLIMATE,2400802,2400802.2012.6.22,2012-06-22 0:00,NU,2012,6,22,3.7,,0.9,,6.4,,0,,,M,,M,,,14,,33,,0,,14.3,,76,,93,
